state,stateabbrev,regular,diesel,electricity,eproxy
Alabama,AL,$3.25 ,$3.79 ,10.84,1.084
Alaska,AK,$3.93 ,$4.30 ,16.68,1.668
Arizona,AZ,$3.43 ,$3.69 ,10.25,1.025
Arkansas,AR,$3.30 ,$3.72 ,8.74,0.874
California,CA,$3.91 ,$4.07 ,16.4,1.64
Colorado,CO,$3.55 ,$3.75 ,11.06,1.106
Connecticut,CT,$3.71 ,$4.18 ,17.05,1.705
Delaware,DE,$3.40 ,$3.73 ,12.85,1.285
District of Columbia,DC,$3.75 ,$4.04 ,12.06,1.206
Florida,FL,$3.42 ,$3.88 ,11.34,1.134
Georgia,GA,$3.41 ,$3.85 ,10.25,1.025
Hawaii,HI,$4.34 ,$4.89 ,37.86,3.786
Idaho,ID,$3.50 ,$3.96 ,8.59,0.859
Illinois,IL,$3.95 ,$4.04 ,10.14,1.014
Indiana,IN,$3.77 ,$4.01 ,9.98,0.998
Iowa,IA,$3.45 ,$3.71 ,10.13,1.013
Kansas,KS,$3.42 ,$3.77 ,10.62,1.062
Kentucky,KY,$3.52 ,$3.91 ,9.25,0.925
Louisiana,LA,$3.27 ,$3.72 ,8.76,0.876
Maine,ME,$3.50 ,$3.96 ,14.61,1.461
Maryland,MD,$3.45 ,$3.79 ,12.5,1.25
Massachusetts,MA,$3.47 ,$3.93 ,14.28,1.428
Michigan,MI,$3.77 ,$4.05 ,13.65,1.365
Minnesota,MN,$3.59 ,$3.91 ,11.05,1.105
Mississippi,MS,$3.26 ,$3.69 ,9.99,0.999
Missouri,MO,$3.37 ,$3.66 ,8.93,0.893
Montana,MT,$3.36 ,$3.84 ,9.81,0.981
Nebraska,NE,$3.46 ,$3.76 ,8.72,0.872
Nevada,NV,$3.54 ,$3.83 ,11.24,1.124
New Hampshire,NH,$3.40 ,$3.82 ,16.06,1.606
New Jersey,NJ,$3.32 ,$3.70 ,15.3,1.53
New Mexico,NM,$3.36 ,$3.81 ,10.88,1.088
New York,NY,$3.70 ,$4.20 ,18.02,1.802
North Carolina,NC,$3.41 ,$3.89 ,10.19,1.019
North Dakota,ND,$3.61 ,$4.03 ,7.71,0.771
Ohio,OH,$3.68 ,$3.98 ,11.01,1.101
Oklahoma,OK,$3.35 ,$3.63 ,8.01,0.801
Oregon,OR,$3.66 ,$3.92 ,9.65,0.965
Pennsylvania,PA,$3.45 ,$3.90 ,12.35,1.235
Rhode Island,RI,$3.53 ,$3.97 ,14.8,1.48
South Carolina,SC,$3.21 ,$3.69 ,11.63,1.163
South Dakota,SD,$3.43 ,$3.74 ,9.07,0.907
Tennessee,TN,$3.24 ,$3.77 ,10.03,1.003
Texas,TX,$3.34 ,$3.74 ,10.89,1.089
Utah,UT,$3.47 ,$3.81 ,9.69,0.969
Vermont,VT,$3.54 ,$3.97 ,17.73,1.773
Virginia,VA,$3.35 ,$3.75 ,9.99,0.999
Washington,WA,$3.69 ,$4.00 ,8.5,0.85
West Virginia,WV,$3.64 ,$4.02 ,9.37,0.937
Wisconsin,WI,$3.73 ,$3.96 ,13.1,1.31
Wyoming,WY,$3.33 ,$3.81 ,9.51,0.951
US Average,US,$3.52 ,$3.87 ,11.47,1.147
